Unnamed: 0,Word Spacing,Size,Pen Pressure,Baseline
0,335.514229,0.3087376722,197,STRAIGHT
1,41,0.9048279466,173,STRAIGHT
2,317.8588226,0.8489634916,160,STRAIGHT
3,774.6153884,0.4043091808,140,STRAIGHT
4,66.21933252,2.316854732,136,STRAIGHT
5,434.474656,4.535945843,129,STRAIGHT
6,199.0189653,0.5478348502,147,STRAIGHT
7,404.1409643,1.177831654,154,STRAIGHT
8,271.7633199,1.435266991,161,STRAIGHT
9,86.46852057,0.8343102045,174,STRAIGHT
10,48.18877916,0.5567175792,191,STRAIGHT
11,43.10452412,1.987238454,193,STRAIGHT
12,335.3509551,0.2719981945,183,STRAIGHT
13,323.9211816,0.955,186,STRAIGHT
14,264.8685827,1.261109937,171,STRAIGHT
15,240.519632,0.6939170907,188,STRAIGHT
16,387.7088677,0.8611733641,120,STRAIGHT
17,491.8268631,0.6164581097,97,DESCENDING
18,305.570769,1.383281615,145,STRAIGHT
19,863.669497,0.4279666648,151,STRAIGHT
20,274.5110946,1.863698954,134,STRAIGHT
21,381.9885097,0.843134156,142,STRAIGHT
22,432.5670383,0.9874622735,120,DESCENDING
23,370.1428657,1.357082869,139,ASSENDING
24,389.8565349,0.6094790696,197,STRAIGHT
25,437.1139649,1.269262983,158,ASSENDING
26,537.429159,0.6209019342,130,STRAIGHT
27,270.7508527,4.645203625,135,STRAIGHT
28,308.4052814,1.496306644,127,STRAIGHT
29,123.8592917,1.538182787,113,STRAIGHT
30,186.560982,0.3257411761,116,STRAIGHT
31,378.803203,0.5230359217,119,STRAIGHT
32,227.7213209,1.270427918,131,STRAIGHT
33,274.8147656,1.825250769,147,STRAIGHT
34,232.8832173,0.7917132331,169,STRAIGHT
35,424.5778729,1.052089539,168,STRAIGHT
36,382.4786939,2.159058819,174,STRAIGHT
37,412.8340385,0.7861807245,137,STRAIGHT
38,368.1691411,1.492981036,179,STRAIGHT
39,397.9268648,1.306275065,169,STRAIGHT
40,367.1414255,1.747547584,169,STRAIGHT
41,389.4913235,2.331337052,163,STRAIGHT
42,338.5164663,0.4649007552,150,STRAIGHT
43,88.62947948,8.295669541,157,ASSENDING
44,423.0014778,0.6016258433,134,DESCENDING
45,300.8111586,1.061794853,68,STRAIGHT
46,262.2311618,0.7886741818,52,STRAIGHT
47,397.6510251,0.7821662928,107,STRAIGHT
48,422.7647186,0.8657063734,158,DESCENDING
49,252.5173261,1.092156743,110,ASSENDING
50,558.022401,0.5626636112,91,STRAIGHT
51,388.7863365,0.4217681154,106,STRAIGHT
52,400.617592,0.5487275613,84,STRAIGHT
53,479.1716923,0.8669740178,110,STRAIGHT
54,404.5192412,0.5175726831,197,DESCENDING
55,503.3916984,1.064655586,197,STRAIGHT
56,465.2576136,0.9122465772,176,STRAIGHT
57,431.0028268,1.312050554,171,STRAIGHT
58,106,0.5986829156,163,STRAIGHT
59,200.3454155,0.4653250063,137,DESCENDING
60,330.5746752,3.969793624,112,STRAIGHT
61,89.55445271,0.4579444955,104,STRAIGHT
62,424.6031779,2.449732353,103,STRAIGHT
63,374.6242813,1.465381861,108,STRAIGHT
64,56.95975916,1.142491973,97,STRAIGHT
65,162.3746446,1.026468302,98,STRAIGHT
66,348.8836977,2.09574056,114,STRAIGHT
67,304.1621645,1.164609908,143,STRAIGHT
68,166.5137184,0.9579187265,171,STRAIGHT
69,270.1135216,0.7995398313,138,STRAIGHT
70,83,1.619872266,120,DESCENDING
71,259.7347283,0.8583674978,127,STRAIGHT
72,246.6244131,0.5637615267,159,DESCENDING
73,228.481121,1.047419355,143,DESCENDING
74,399.9266863,0.9462142783,149,ASSENDING
75,155.4955128,0.6609554662,130,STRAIGHT
76,406.9174323,1.393058656,103,STRAIGHT
77,181.6640788,1.56673237,102,STRAIGHT
78,727.2138613,3.212836752,128,STRAIGHT
79,365.1293731,0.8515494439,95,STRAIGHT
80,370.7618834,1.618132578,49,STRAIGHT
81,69.02402124,0.704245358,49,STRAIGHT
