Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism
335.514229,1,0,1,0,1,,,
41.0,1,0,1,0,1,,,
317.8588226,0,0,1,0,1,,,
774.6153884,1,0,1,0,1,,,
66.21933252,1,0,1,0,0,,,
434.474656,1,0,1,0,0,,,
199.0189653,1,0,1,0,1,,,
404.1409643,0,0,1,1,0,,,
271.7633199,1,0,1,1,0,,,
86.46852057,0,0,1,0,1,,,
48.18877916,0,0,1,0,1,,,
43.10452412,1,0,1,0,0,,,
335.3509551,0,0,1,0,1,,,
323.9211816,0,0,1,0,1,,,
264.8685827,1,0,1,1,0,,,
240.519632,1,0,1,0,1,,,
387.7088677,1,0,1,0,1,,,
491.8268631,0,1,0,0,1,,,
305.570769,1,0,1,1,0,,,
863.669497,1,0,1,0,1,,,
274.5110946,0,0,1,0,0,,,
381.9885097,0,0,1,0,1,,,
432.5670383,1,1,0,0,1,,,
370.1428657,1,0,0,1,0,,,
389.8565349,0,0,1,0,1,,,
437.1139649,1,0,0,1,0,,,
537.429159,1,0,1,0,1,,,
270.7508527,0,0,1,0,0,,,
308.4052814,1,0,1,0,0,,,
123.8592917,0,0,1,0,0,,,
186.560982,0,0,1,0,1,,,
378.803203,0,0,1,0,1,,,
227.7213209,1,0,1,1,0,,,
274.8147656,0,0,1,0,0,,,
232.8832173,1,0,1,0,1,,,
424.5778729,1,0,1,1,0,,,
382.4786939,1,0,1,0,0,,,
412.8340385,1,0,1,0,1,,,
368.1691411,0,0,1,0,0,,,
397.9268648,1,0,1,1,0,,,
367.1414255,0,0,1,0,0,,,
389.4913235,1,0,1,0,0,,,
338.5164663,0,0,1,0,1,,,
88.62947948,1,0,0,0,0,,,
423.0014778,1,1,0,0,1,,,
300.8111586,1,0,1,1,0,,,
262.2311618,1,0,1,0,1,,,
397.6510251,0,0,1,0,1,,,
422.7647186,1,1,0,0,1,,,
252.5173261,1,0,0,1,0,,,
558.022401,1,0,1,0,1,,,
388.7863365,1,0,1,0,1,,,
400.617592,0,0,1,0,1,,,
479.1716923,1,0,1,0,1,,,
404.5192412,1,1,0,0,1,,,
503.3916984,1,0,1,1,0,,,
465.2576136,1,0,1,0,1,,,
431.0028268,0,0,1,1,0,,,
106.0,0,0,1,0,1,,,
200.3454155,1,1,0,0,1,,,
330.5746752,1,0,1,0,0,,,
89.55445271,1,0,1,0,1,,,
424.6031779,1,0,1,0,0,,,
374.6242813,1,0,1,1,0,,,
56.95975916,1,0,1,1,0,,,
162.3746446,0,0,1,1,0,,,
348.8836977,1,0,1,0,0,,,
304.1621645,1,0,1,1,0,,,
166.5137184,0,0,1,0,1,,,
270.1135216,1,0,1,0,1,,,
83.0,0,1,0,0,0,,,
259.7347283,0,0,1,0,1,,,
246.6244131,1,1,0,0,1,,,
228.481121,0,1,0,1,0,,,
399.9266863,1,0,0,0,1,,,
155.4955128,0,0,1,0,1,,,
406.9174323,1,0,1,1,0,,,
181.6640788,0,0,1,0,0,,,
