Word Spacing,Pen Pressure,Baseline,Word Size
335.514229,LOW,STRAIGHT,SMALL
41.0,LOW,STRAIGHT,SMALL
317.8588226,HIGH,STRAIGHT,SMALL
774.6153884,LOW,STRAIGHT,SMALL
66.21933252,LOW,STRAIGHT,BIG
434.474656,LOW,STRAIGHT,BIG
199.0189653,LOW,STRAIGHT,SMALL
404.1409643,HIGH,STRAIGHT,NORMAL
271.7633199,LOW,STRAIGHT,NORMAL
86.46852057,HIGH,STRAIGHT,SMALL
48.18877916,HIGH,STRAIGHT,SMALL
43.10452412,LOW,STRAIGHT,BIG
335.3509551,HIGH,STRAIGHT,SMALL
323.9211816,HIGH,STRAIGHT,SMALL
264.8685827,LOW,STRAIGHT,NORMAL
240.519632,LOW,STRAIGHT,SMALL
387.7088677,LOW,STRAIGHT,SMALL
491.8268631,HIGH,DESCENDING,SMALL
305.570769,LOW,STRAIGHT,NORMAL
863.669497,LOW,STRAIGHT,SMALL
274.5110946,HIGH,STRAIGHT,BIG
381.9885097,HIGH,STRAIGHT,SMALL
432.5670383,LOW,DESCENDING,SMALL
370.1428657,LOW,ASSENDING,NORMAL
389.8565349,HIGH,STRAIGHT,SMALL
437.1139649,LOW,ASSENDING,NORMAL
537.429159,LOW,STRAIGHT,SMALL
270.7508527,HIGH,STRAIGHT,BIG
308.4052814,LOW,STRAIGHT,BIG
123.8592917,HIGH,STRAIGHT,BIG
186.560982,HIGH,STRAIGHT,SMALL
378.803203,HIGH,STRAIGHT,SMALL
227.7213209,LOW,STRAIGHT,NORMAL
274.8147656,HIGH,STRAIGHT,BIG
232.8832173,LOW,STRAIGHT,SMALL
424.5778729,LOW,STRAIGHT,NORMAL
382.4786939,LOW,STRAIGHT,BIG
412.8340385,LOW,STRAIGHT,SMALL
368.1691411,HIGH,STRAIGHT,BIG
397.9268648,LOW,STRAIGHT,NORMAL
367.1414255,HIGH,STRAIGHT,BIG
389.4913235,LOW,STRAIGHT,BIG
338.5164663,HIGH,STRAIGHT,SMALL
88.62947948,LOW,ASSENDING,BIG
423.0014778,LOW,DESCENDING,SMALL
300.8111586,LOW,STRAIGHT,NORMAL
262.2311618,LOW,STRAIGHT,SMALL
397.6510251,HIGH,STRAIGHT,SMALL
422.7647186,LOW,DESCENDING,SMALL
252.5173261,LOW,ASSENDING,NORMAL
558.022401,LOW,STRAIGHT,SMALL
388.7863365,LOW,STRAIGHT,SMALL
400.617592,HIGH,STRAIGHT,SMALL
479.1716923,LOW,STRAIGHT,SMALL
404.5192412,LOW,DESCENDING,SMALL
503.3916984,LOW,STRAIGHT,NORMAL
465.2576136,LOW,STRAIGHT,SMALL
431.0028268,HIGH,STRAIGHT,NORMAL
106.0,HIGH,STRAIGHT,SMALL
200.3454155,LOW,DESCENDING,SMALL
330.5746752,LOW,STRAIGHT,BIG
89.55445271,LOW,STRAIGHT,SMALL
424.6031779,LOW,STRAIGHT,BIG
374.6242813,LOW,STRAIGHT,NORMAL
56.95975916,LOW,STRAIGHT,NORMAL
162.3746446,HIGH,STRAIGHT,NORMAL
348.8836977,LOW,STRAIGHT,BIG
304.1621645,LOW,STRAIGHT,NORMAL
166.5137184,HIGH,STRAIGHT,SMALL
270.1135216,LOW,STRAIGHT,SMALL
83.0,HIGH,DESCENDING,BIG
259.7347283,HIGH,STRAIGHT,SMALL
246.6244131,LOW,DESCENDING,SMALL
228.481121,HIGH,DESCENDING,NORMAL
399.9266863,LOW,ASSENDING,SMALL
155.4955128,HIGH,STRAIGHT,SMALL
406.9174323,LOW,STRAIGHT,NORMAL
181.6640788,HIGH,STRAIGHT,BIG
727.2138613,LOW,STRAIGHT,BIG
365.1293731,LOW,STRAIGHT,SMALL
370.7618834,HIGH,STRAIGHT,BIG
69.02402124,LOW,STRAIGHT,SMALL
466.0374762,HIGH,STRAIGHT,SMALL
364.9052922,LOW,STRAIGHT,SMALL
106.8503627,LOW,STRAIGHT,SMALL
151.1398691,LOW,STRAIGHT,SMALL
157.086907,HIGH,ASSENDING,SMALL
315.8492378,LOW,STRAIGHT,BIG
31.92297629,HIGH,DESCENDING,NORMAL
591.7719155,HIGH,STRAIGHT,SMALL
399.6506005,LOW,STRAIGHT,BIG
384.9869935,LOW,DESCENDING,SMALL
835.0167663,LOW,ASSENDING,NORMAL
550.5142456,LOW,STRAIGHT,SMALL
702.2364274,HIGH,ASSENDING,SMALL
331.4003545,LOW,STRAIGHT,SMALL
74.0,HIGH,STRAIGHT,NORMAL
205.395495,LOW,STRAIGHT,NORMAL
306.6628966,HIGH,STRAIGHT,SMALL
365.5683797,LOW,STRAIGHT,NORMAL
291.9617055,HIGH,STRAIGHT,SMALL
410.1095142,LOW,STRAIGHT,SMALL
340.4275903,HIGH,STRAIGHT,BIG
629.7232991,LOW,STRAIGHT,SMALL
101.8207319,LOW,STRAIGHT,SMALL
273.8508667,HIGH,DESCENDING,BIG
334.8311614,LOW,STRAIGHT,SMALL
375.3344572,LOW,STRAIGHT,BIG
132.6300395,LOW,STRAIGHT,BIG
183.109257,LOW,STRAIGHT,SMALL
215.9840533,HIGH,DESCENDING,SMALL
272.4454763,LOW,STRAIGHT,BIG
384.4593285,LOW,STRAIGHT,BIG
231.2995777,LOW,STRAIGHT,SMALL
63.89053138,LOW,STRAIGHT,NORMAL
283.5428303,LOW,DESCENDING,SMALL
410.8180431,LOW,DESCENDING,NORMAL
293.4460727,LOW,STRAIGHT,SMALL
682.5745381,HIGH,ASSENDING,NORMAL
316.1054773,LOW,STRAIGHT,SMALL
366.863467,HIGH,STRAIGHT,BIG
399.2321647,LOW,STRAIGHT,SMALL
329.0354944,LOW,STRAIGHT,SMALL
472.0309827,LOW,STRAIGHT,BIG
124.8165079,LOW,STRAIGHT,SMALL
112.298587,HIGH,STRAIGHT,NORMAL
295.8261183,LOW,STRAIGHT,SMALL
60.0,LOW,STRAIGHT,SMALL
388.7277425,LOW,STRAIGHT,SMALL
512.5673226,LOW,STRAIGHT,BIG
509.4926859,HIGH,DESCENDING,BIG
288.2682241,HIGH,STRAIGHT,NORMAL
400.5017958,LOW,DESCENDING,SMALL
286.0612679,LOW,STRAIGHT,NORMAL
438.0368096,LOW,DESCENDING,SMALL
429.2630387,HIGH,STRAIGHT,BIG
199.9481172,LOW,STRAIGHT,SMALL
163.6867837,HIGH,STRAIGHT,SMALL
250.0452199,LOW,STRAIGHT,SMALL
399.5155984,HIGH,STRAIGHT,SMALL
348.2334681,LOW,STRAIGHT,SMALL
368.6528313,LOW,STRAIGHT,SMALL
195.2061108,LOW,STRAIGHT,BIG
465.8529969,HIGH,STRAIGHT,SMALL
167.0988583,LOW,STRAIGHT,BIG
264.1863218,LOW,STRAIGHT,SMALL
328.8348077,LOW,STRAIGHT,SMALL
381.7181882,HIGH,STRAIGHT,NORMAL
403.5583774,LOW,DESCENDING,SMALL
369.8612436,LOW,STRAIGHT,SMALL
366.6822702,HIGH,STRAIGHT,SMALL
462.2299198,HIGH,STRAIGHT,SMALL
228.2582267,LOW,STRAIGHT,BIG
153.3753566,HIGH,STRAIGHT,SMALL
414.7121449,LOW,STRAIGHT,NORMAL
757.6157576,HIGH,STRAIGHT,SMALL
371.0615891,LOW,STRAIGHT,NORMAL
323.4245998,HIGH,DESCENDING,NORMAL
363.8656204,LOW,STRAIGHT,SMALL
229.0545951,LOW,STRAIGHT,SMALL
295.8459775,LOW,STRAIGHT,BIG
557.5560121,LOW,STRAIGHT,SMALL
252.3885893,LOW,STRAIGHT,SMALL
26.59016994,LOW,STRAIGHT,BIG
386.4835315,LOW,DESCENDING,SMALL
530.4616615,HIGH,DESCENDING,SMALL
403.885926,HIGH,STRAIGHT,SMALL
214.3673566,LOW,STRAIGHT,SMALL
390.7992362,HIGH,DESCENDING,SMALL
436.084239,LOW,STRAIGHT,SMALL
349.2254019,LOW,STRAIGHT,BIG
390.9268897,HIGH,STRAIGHT,NORMAL
357.658248,HIGH,DESCENDING,SMALL
540.7124929,LOW,STRAIGHT,BIG
449.6246622,HIGH,STRAIGHT,SMALL
189.8717045,HIGH,STRAIGHT,SMALL
356.1560793,LOW,STRAIGHT,NORMAL
259.2181966,LOW,STRAIGHT,SMALL
192.3202814,LOW,STRAIGHT,SMALL
87.0,LOW,STRAIGHT,SMALL
498.0855129,LOW,STRAIGHT,SMALL
471.3558775,LOW,STRAIGHT,NORMAL
279.246294,HIGH,STRAIGHT,NORMAL
