Word Spacing,Size,Pen Pressure,Baseline
335.514229,"{'Avg Width': 0.15300240732681628, 'Avg Height': 0.3087376722358145}",LOW,STRAIGHT
41.0,"{'Avg Width': 0.2556163079033332, 'Avg Height': 0.9048279466284417}",LOW,STRAIGHT
317.8588226,"{'Avg Width': 0.8670480388806315, 'Avg Height': 0.8489634916337734}",HIGH,STRAIGHT
774.6153884,"{'Avg Width': 0.3269533337954669, 'Avg Height': 0.4043091807583164}",LOW,STRAIGHT
66.21933252,"{'Avg Width': 4.461511854589029, 'Avg Height': 2.3168547316397463}",LOW,STRAIGHT
434.474656,"{'Avg Width': 4.5425292878404395, 'Avg Height': 4.535945842823627}",LOW,STRAIGHT
199.0189653,"{'Avg Width': 0.290844969213159, 'Avg Height': 0.5478348502365489}",LOW,STRAIGHT
404.1409643,"{'Avg Width': 0.9347160847608761, 'Avg Height': 1.1778316541546656}",HIGH,STRAIGHT
271.7633199,"{'Avg Width': 0.4603871845496332, 'Avg Height': 1.435266990704855}",LOW,STRAIGHT
86.46852057,"{'Avg Width': 0.627269977768677, 'Avg Height': 0.8343102045308077}",HIGH,STRAIGHT
48.18877916,"{'Avg Width': 0.39236862919974536, 'Avg Height': 0.556717579185675}",HIGH,STRAIGHT
43.10452412,"{'Avg Width': 1.034708622295539, 'Avg Height': 1.9872384535568945}",LOW,STRAIGHT
335.3509551,"{'Avg Width': 0.16478456927811816, 'Avg Height': 0.2719981945083004}",HIGH,STRAIGHT
323.9211816,"{'Avg Width': 1.148984375, 'Avg Height': 0.955}",HIGH,STRAIGHT
264.8685827,"{'Avg Width': 0.48335708681934875, 'Avg Height': 1.2611099370472985}",LOW,STRAIGHT
240.519632,"{'Avg Width': 0.3534430869113134, 'Avg Height': 0.6939170907235923}",LOW,STRAIGHT
387.7088677,"{'Avg Width': 0.24588282588159424, 'Avg Height': 0.861173364109133}",LOW,STRAIGHT
491.8268631,"{'Avg Width': 0.3797501984221138, 'Avg Height': 0.6164581097455599}",HIGH,DESCENDING
305.570769,"{'Avg Width': 0.7024898545616024, 'Avg Height': 1.3832816147508487}",LOW,STRAIGHT
863.669497,"{'Avg Width': 0.2216290692136748, 'Avg Height': 0.4279666647581094}",LOW,STRAIGHT
274.5110946,"{'Avg Width': 0.9362481071648125, 'Avg Height': 1.863698954241815}",HIGH,STRAIGHT
381.9885097,"{'Avg Width': 0.34253705452839783, 'Avg Height': 0.8431341559648012}",HIGH,STRAIGHT
432.5670383,"{'Avg Width': 0.6862047856604491, 'Avg Height': 0.9874622734648812}",LOW,DESCENDING
370.1428657,"{'Avg Width': 1.2519746038609758, 'Avg Height': 1.3570828692795556}",LOW,ASSENDING
389.8565349,"{'Avg Width': 0.5520605884966525, 'Avg Height': 0.6094790696324642}",HIGH,STRAIGHT
437.1139649,"{'Avg Width': 1.251651123644339, 'Avg Height': 1.269262983250749}",LOW,ASSENDING
537.429159,"{'Avg Width': 0.34881050954171894, 'Avg Height': 0.6209019341964226}",LOW,STRAIGHT
270.7508527,"{'Avg Width': 5.081455887854978, 'Avg Height': 4.6452036246170945}",HIGH,STRAIGHT
308.4052814,"{'Avg Width': 0.9931408147586377, 'Avg Height': 1.4963066436946333}",LOW,STRAIGHT
123.8592917,"{'Avg Width': 1.2068102677144164, 'Avg Height': 1.53818278729248}",HIGH,STRAIGHT
186.560982,"{'Avg Width': 0.1838980529518379, 'Avg Height': 0.3257411761177027}",HIGH,STRAIGHT
378.803203,"{'Avg Width': 0.1987200272209671, 'Avg Height': 0.5230359217199935}",HIGH,STRAIGHT
227.7213209,"{'Avg Width': 0.952276042191162, 'Avg Height': 1.2704279175190067}",LOW,STRAIGHT
274.8147656,"{'Avg Width': 0.879195259636195, 'Avg Height': 1.8252507686808477}",HIGH,STRAIGHT
232.8832173,"{'Avg Width': 0.43918283417625004, 'Avg Height': 0.7917132330544369}",LOW,STRAIGHT
424.5778729,"{'Avg Width': 0.8829423421586903, 'Avg Height': 1.0520895391714324}",LOW,STRAIGHT
382.4786939,"{'Avg Width': 2.9317891334378583, 'Avg Height': 2.159058819043176}",LOW,STRAIGHT
412.8340385,"{'Avg Width': 0.38858526313240493, 'Avg Height': 0.7861807245236214}",LOW,STRAIGHT
368.1691411,"{'Avg Width': 0.6680899342368793, 'Avg Height': 1.49298103570492}",HIGH,STRAIGHT
397.9268648,"{'Avg Width': 0.7158540571266405, 'Avg Height': 1.3062750649684653}",LOW,STRAIGHT
367.1414255,"{'Avg Width': 0.8769419635270753, 'Avg Height': 1.7475475843929944}",HIGH,STRAIGHT
389.4913235,"{'Avg Width': 1.0497489708970065, 'Avg Height': 2.331337051796699}",LOW,STRAIGHT
338.5164663,"{'Avg Width': 0.3215055103208461, 'Avg Height': 0.46490075520124297}",HIGH,STRAIGHT
88.62947948,"{'Avg Width': 7.687737966059481, 'Avg Height': 8.295669540706275}",LOW,ASSENDING
423.0014778,"{'Avg Width': 0.28840808193875583, 'Avg Height': 0.6016258433022384}",LOW,DESCENDING
300.8111586,"{'Avg Width': 0.661304191508702, 'Avg Height': 1.061794852946128}",LOW,STRAIGHT
262.2311618,"{'Avg Width': 0.707982951191533, 'Avg Height': 0.7886741818307147}",LOW,STRAIGHT
397.6510251,"{'Avg Width': 0.3188008080430827, 'Avg Height': 0.7821662927557096}",HIGH,STRAIGHT
422.7647186,"{'Avg Width': 0.2534391989893931, 'Avg Height': 0.8657063733595556}",LOW,DESCENDING
252.5173261,"{'Avg Width': 0.8032333488324934, 'Avg Height': 1.0921567429857582}",LOW,ASSENDING
558.022401,"{'Avg Width': 0.2866720171067113, 'Avg Height': 0.5626636112097018}",LOW,STRAIGHT
388.7863365,"{'Avg Width': 0.22707262880475745, 'Avg Height': 0.42176811539904124}",LOW,STRAIGHT
400.617592,"{'Avg Width': 0.19687753464377078, 'Avg Height': 0.5487275613302373}",HIGH,STRAIGHT
479.1716923,"{'Avg Width': 0.6594966276192673, 'Avg Height': 0.8669740178297841}",LOW,STRAIGHT
404.5192412,"{'Avg Width': 0.3522399362349517, 'Avg Height': 0.5175726830696186}",LOW,DESCENDING
503.3916984,"{'Avg Width': 0.4066338119549253, 'Avg Height': 1.0646555861117852}",LOW,STRAIGHT
465.2576136,"{'Avg Width': 0.3331449908632192, 'Avg Height': 0.9122465771572092}",LOW,STRAIGHT
431.0028268,"{'Avg Width': 0.38897983673834435, 'Avg Height': 1.312050554279733}",HIGH,STRAIGHT
106.0,"{'Avg Width': 0.28274091444786675, 'Avg Height': 0.5986829155806604}",HIGH,STRAIGHT
200.3454155,"{'Avg Width': 0.10971337691751493, 'Avg Height': 0.46532500632916035}",LOW,DESCENDING
330.5746752,"{'Avg Width': 2.243313241764528, 'Avg Height': 3.969793623612309}",LOW,STRAIGHT
89.55445271,"{'Avg Width': 0.2340643432007722, 'Avg Height': 0.4579444955027912}",LOW,STRAIGHT
424.6031779,"{'Avg Width': 1.3047291287228253, 'Avg Height': 2.449732353313035}",LOW,STRAIGHT
374.6242813,"{'Avg Width': 1.0368268827645808, 'Avg Height': 1.4653818609052998}",LOW,STRAIGHT
56.95975916,"{'Avg Width': 0.7131634330168257, 'Avg Height': 1.1424919726978664}",LOW,STRAIGHT
162.3746446,"{'Avg Width': 0.5618506388419776, 'Avg Height': 1.0264683016726504}",HIGH,STRAIGHT
348.8836977,"{'Avg Width': 1.3172409758098307, 'Avg Height': 2.0957405595370866}",LOW,STRAIGHT
304.1621645,"{'Avg Width': 0.8750991325329872, 'Avg Height': 1.1646099084807915}",LOW,STRAIGHT
166.5137184,"{'Avg Width': 0.6756528666921793, 'Avg Height': 0.9579187264654363}",HIGH,STRAIGHT
270.1135216,"{'Avg Width': 0.35073876309222596, 'Avg Height': 0.7995398313071345}",LOW,STRAIGHT
83.0,"{'Avg Width': 1.7681762056950743, 'Avg Height': 1.6198722661942215}",HIGH,DESCENDING
259.7347283,"{'Avg Width': 0.6361504853885552, 'Avg Height': 0.858367497807227}",HIGH,STRAIGHT
246.6244131,"{'Avg Width': 0.23523636642467902, 'Avg Height': 0.5637615267405967}",LOW,DESCENDING
228.481121,"{'Avg Width': 1.0679569892473117, 'Avg Height': 1.0474193548387096}",HIGH,DESCENDING
399.9266863,"{'Avg Width': 0.6011818635345075, 'Avg Height': 0.9462142782776745}",LOW,ASSENDING
155.4955128,"{'Avg Width': 0.3364099773852388, 'Avg Height': 0.6609554661853446}",HIGH,STRAIGHT
406.9174323,"{'Avg Width': 0.6962360257631547, 'Avg Height': 1.3930586555052737}",LOW,STRAIGHT
181.6640788,"{'Avg Width': 1.0307524569291682, 'Avg Height': 1.566732369592779}",HIGH,STRAIGHT
727.2138613,"{'Avg Width': 1.0981946523915647, 'Avg Height': 3.2128367524306563}",LOW,STRAIGHT
365.1293731,"{'Avg Width': 1.1487413914608275, 'Avg Height': 0.8515494438831571}",LOW,STRAIGHT
370.7618834,"{'Avg Width': 0.8560919103168645, 'Avg Height': 1.6181325777829199}",HIGH,STRAIGHT
69.02402124,"{'Avg Width': 1.0548610229187467, 'Avg Height': 0.7042453579867833}",LOW,STRAIGHT
466.0374762,"{'Avg Width': 0.276448115348271, 'Avg Height': 0.5591937852367367}",HIGH,STRAIGHT
364.9052922,"{'Avg Width': 0.34246162989380663, 'Avg Height': 0.5213803940824315}",LOW,STRAIGHT
106.8503627,"{'Avg Width': 0.2156636955915591, 'Avg Height': 0.5201997309231094}",LOW,STRAIGHT
151.1398691,"{'Avg Width': 0.2237434233300977, 'Avg Height': 0.7037679819850725}",LOW,STRAIGHT
157.086907,"{'Avg Width': 0.3565556410208961, 'Avg Height': 0.6090942702340081}",HIGH,ASSENDING
315.8492378,"{'Avg Width': 1.0458775150924167, 'Avg Height': 2.0479600040052035}",LOW,STRAIGHT
31.92297629,"{'Avg Width': 1.1986853706358915, 'Avg Height': 1.4620420519278383}",HIGH,DESCENDING
591.7719155,"{'Avg Width': 0.7907495258460566, 'Avg Height': 0.6173082299978342}",HIGH,STRAIGHT
399.6506005,"{'Avg Width': 12.059751636254429, 'Avg Height': 8.136302996726487}",LOW,STRAIGHT
384.9869935,"{'Avg Width': 0.25417542436886426, 'Avg Height': 0.7245831697475831}",LOW,DESCENDING
835.0167663,"{'Avg Width': 0.3955890350049989, 'Avg Height': 1.0186876146715973}",LOW,ASSENDING
550.5142456,"{'Avg Width': 0.39101219629096146, 'Avg Height': 0.4969080057177825}",LOW,STRAIGHT
702.2364274,"{'Avg Width': 0.34928989382635156, 'Avg Height': 0.6272957329860193}",HIGH,ASSENDING
331.4003545,"{'Avg Width': 0.4389688220097104, 'Avg Height': 0.7941490253486523}",LOW,STRAIGHT
74.0,"{'Avg Width': 0.890198094010551, 'Avg Height': 1.4674231116637353}",HIGH,STRAIGHT
205.395495,"{'Avg Width': 1.7474623340165472, 'Avg Height': 1.4345639382347033}",LOW,STRAIGHT
306.6628966,"{'Avg Width': 0.17126799085830577, 'Avg Height': 0.2354152773721433}",HIGH,STRAIGHT
365.5683797,"{'Avg Width': 0.9653104706480694, 'Avg Height': 1.115014215170953}",LOW,STRAIGHT
291.9617055,"{'Avg Width': 0.41166534754175893, 'Avg Height': 0.8901822257520811}",HIGH,STRAIGHT
410.1095142,"{'Avg Width': 0.18704200770098275, 'Avg Height': 0.523642410656479}",LOW,STRAIGHT
340.4275903,"{'Avg Width': 0.7348330141529877, 'Avg Height': 1.8005142299460517}",HIGH,STRAIGHT
629.7232991,"{'Avg Width': 0.19902726457988765, 'Avg Height': 0.836138248036543}",LOW,STRAIGHT
101.8207319,"{'Avg Width': 0.7898941030042705, 'Avg Height': 0.9605600276603956}",LOW,STRAIGHT
273.8508667,"{'Avg Width': 0.5715261348797351, 'Avg Height': 1.6253505189910222}",HIGH,DESCENDING
334.8311614,"{'Avg Width': 0.45432038834951455, 'Avg Height': 0.955}",LOW,STRAIGHT
375.3344572,"{'Avg Width': 1.421213020674811, 'Avg Height': 1.494377371632168}",LOW,STRAIGHT
132.6300395,"{'Avg Width': 9.19950992084368, 'Avg Height': 8.323765018500467}",LOW,STRAIGHT
183.109257,"{'Avg Width': 0.24655595605847241, 'Avg Height': 0.5362689833876656}",LOW,STRAIGHT
215.9840533,"{'Avg Width': 0.3555479045295009, 'Avg Height': 0.9546695982903493}",HIGH,DESCENDING
272.4454763,"{'Avg Width': 1.450101220685914, 'Avg Height': 2.1399844783188366}",LOW,STRAIGHT
384.4593285,"{'Avg Width': 1.1140933347346937, 'Avg Height': 3.091129305645861}",LOW,STRAIGHT
231.2995777,"{'Avg Width': 0.47730795344682553, 'Avg Height': 0.9034291405928355}",LOW,STRAIGHT
63.89053138,"{'Avg Width': 1.075321031385417, 'Avg Height': 1.4421734611988337}",LOW,STRAIGHT
283.5428303,"{'Avg Width': 0.7352853486256868, 'Avg Height': 0.955}",LOW,DESCENDING
410.8180431,"{'Avg Width': 0.8406358787003969, 'Avg Height': 1.416955898624052}",LOW,DESCENDING
293.4460727,"{'Avg Width': 0.4333339684519947, 'Avg Height': 0.6542031699082707}",LOW,STRAIGHT
682.5745381,"{'Avg Width': 0.3463325004375474, 'Avg Height': 1.268355170724695}",HIGH,ASSENDING
316.1054773,"{'Avg Width': 0.24500989239805993, 'Avg Height': 0.7295336424772565}",LOW,STRAIGHT
366.863467,"{'Avg Width': 1.540114352779791, 'Avg Height': 3.3951611644846666}",HIGH,STRAIGHT
399.2321647,"{'Avg Width': 0.31382446433825906, 'Avg Height': 0.8852492416620062}",LOW,STRAIGHT
329.0354944,"{'Avg Width': 0.3893350107470491, 'Avg Height': 0.5006406745376754}",LOW,STRAIGHT
472.0309827,"{'Avg Width': 0.47465760265483875, 'Avg Height': 1.5407936155182682}",LOW,STRAIGHT
124.8165079,"{'Avg Width': 0.3324292765072297, 'Avg Height': 0.8190264052273596}",LOW,STRAIGHT
112.298587,"{'Avg Width': 0.5038931691651206, 'Avg Height': 1.175783748578807}",HIGH,STRAIGHT
295.8261183,"{'Avg Width': 0.6226592718715065, 'Avg Height': 0.4276237790268673}",LOW,STRAIGHT
60.0,"{'Avg Width': 0.709461421188668, 'Avg Height': 0.7643705674455867}",LOW,STRAIGHT
388.7277425,"{'Avg Width': 0.2669065543648162, 'Avg Height': 0.7348515735438901}",LOW,STRAIGHT
512.5673226,"{'Avg Width': 0.6077633950234372, 'Avg Height': 1.604853799180347}",LOW,STRAIGHT
509.4926859,"{'Avg Width': 2.316615471856413, 'Avg Height': 6.135502987301279}",HIGH,DESCENDING
288.2682241,"{'Avg Width': 1.1409878722381803, 'Avg Height': 1.121068456427333}",HIGH,STRAIGHT
400.5017958,"{'Avg Width': 0.38858634624512717, 'Avg Height': 0.7438330203215963}",LOW,DESCENDING
286.0612679,"{'Avg Width': 0.5366683700186238, 'Avg Height': 1.0241929753590964}",LOW,STRAIGHT
438.0368096,"{'Avg Width': 0.1810065105642763, 'Avg Height': 0.6630674999253862}",LOW,DESCENDING
429.2630387,"{'Avg Width': 2.2972500314278985, 'Avg Height': 2.375443341081825}",HIGH,STRAIGHT
199.9481172,"{'Avg Width': 0.3728233234511032, 'Avg Height': 0.46339343319437937}",LOW,STRAIGHT
163.6867837,"{'Avg Width': 0.20403058667543514, 'Avg Height': 0.5524076465210684}",HIGH,STRAIGHT
250.0452199,"{'Avg Width': 0.1761024886134714, 'Avg Height': 0.42212017280122666}",LOW,STRAIGHT
399.5155984,"{'Avg Width': 0.5917693326646545, 'Avg Height': 0.9233176652048867}",HIGH,STRAIGHT
348.2334681,"{'Avg Width': 0.28412346789261617, 'Avg Height': 0.668848272628767}",LOW,STRAIGHT
368.6528313,"{'Avg Width': 0.32826274326308286, 'Avg Height': 0.5809135180210891}",LOW,STRAIGHT
195.2061108,"{'Avg Width': 4.271384633488289, 'Avg Height': 6.636254648470471}",LOW,STRAIGHT
465.8529969,"{'Avg Width': 0.3900637768322728, 'Avg Height': 0.8657312937548922}",HIGH,STRAIGHT
167.0988583,"{'Avg Width': 0.7316272392499745, 'Avg Height': 1.4906163149549219}",LOW,STRAIGHT
264.1863218,"{'Avg Width': 0.48111185942103174, 'Avg Height': 0.45520666753491773}",LOW,STRAIGHT
328.8348077,"{'Avg Width': 0.40754288117007187, 'Avg Height': 0.8868126047943892}",LOW,STRAIGHT
381.7181882,"{'Avg Width': 1.2311937033573477, 'Avg Height': 1.223841356469678}",HIGH,STRAIGHT
403.5583774,"{'Avg Width': 0.5055884445699453, 'Avg Height': 0.7653953468718317}",LOW,DESCENDING
369.8612436,"{'Avg Width': 0.22603014265426832, 'Avg Height': 0.708719741214771}",LOW,STRAIGHT
366.6822702,"{'Avg Width': 0.5284571294494098, 'Avg Height': 0.9213232142046063}",HIGH,STRAIGHT
462.2299198,"{'Avg Width': 0.1872451762029184, 'Avg Height': 0.540393909165478}",HIGH,STRAIGHT
228.2582267,"{'Avg Width': 0.6060127220440744, 'Avg Height': 1.555899364267172}",LOW,STRAIGHT
153.3753566,"{'Avg Width': 1.278849699056333, 'Avg Height': 0.8040917422534193}",HIGH,STRAIGHT
414.7121449,"{'Avg Width': 0.5415238861544662, 'Avg Height': 1.0198115110992005}",LOW,STRAIGHT
757.6157576,"{'Avg Width': 0.4422231109980789, 'Avg Height': 0.3922840363181954}",HIGH,STRAIGHT
371.0615891,"{'Avg Width': 1.2077908066197283, 'Avg Height': 1.334249469916348}",LOW,STRAIGHT
323.4245998,"{'Avg Width': 0.5735885729051383, 'Avg Height': 1.040670554128163}",HIGH,DESCENDING
363.8656204,"{'Avg Width': 0.13759562386013516, 'Avg Height': 0.43221039017726054}",LOW,STRAIGHT
