Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism,Size,Pen Pressure
336,1,0,1,0,1,1,0,1,0.3087376722,197
41,1,0,1,0,1,1,0,1,0.9048279466,173
318,0,0,1,0,1,0,0,1,0.8489634916,160
775,1,0,1,0,1,1,0,1,0.4043091808,140
66,1,0,1,0,0,1,2,1,2.316854732,136
434,1,0,1,0,0,1,2,1,4.535945843,129
199,1,0,1,0,1,1,0,1,0.5478348502,147
404,0,0,1,1,0,0,1,1,1.177831654,154
272,1,0,1,1,0,1,1,1,1.435266991,161
86,0,0,1,0,1,0,0,1,0.8343102045,174
48,0,0,1,0,1,0,0,1,0.5567175792,191
43,1,0,1,0,0,1,2,1,1.987238454,193
335,0,0,1,0,1,0,0,1,0.2719981945,183
324,0,0,1,0,1,0,0,1,0.955,186
265,1,0,1,1,0,1,1,1,1.261109937,171
241,1,0,1,0,1,1,0,1,0.6939170907,188
388,1,0,1,0,1,1,0,1,0.8611733641,120
492,0,1,0,0,1,0,0,0,0.6164581097,97
306,1,0,1,1,0,1,1,1,1.383281615,145
864,1,0,1,0,1,1,0,1,0.4279666648,151
275,0,0,1,0,0,0,2,1,1.863698954,134
382,0,0,1,0,1,0,0,1,0.843134156,142
433,1,1,0,0,1,1,0,0,0.9874622735,120
370,1,0,0,1,0,1,1,2,1.357082869,139
390,0,0,1,0,1,0,0,1,0.6094790696,197
437,1,0,0,1,0,1,1,2,1.269262983,158
537,1,0,1,0,1,1,0,1,0.6209019342,130
271,0,0,1,0,0,0,2,1,4.645203625,135
308,1,0,1,0,0,1,2,1,1.496306644,127
124,0,0,1,0,0,0,2,1,1.538182787,113
187,0,0,1,0,1,0,0,1,0.3257411761,116
379,0,0,1,0,1,0,0,1,0.5230359217,119
228,1,0,1,1,0,1,1,1,1.270427918,131
275,0,0,1,0,0,0,2,1,1.825250769,147
233,1,0,1,0,1,1,0,1,0.7917132331,169
425,1,0,1,1,0,1,1,1,1.052089539,168
382,1,0,1,0,0,1,2,1,2.159058819,174
413,1,0,1,0,1,1,0,1,0.7861807245,137
368,0,0,1,0,0,0,2,1,1.492981036,179
398,1,0,1,1,0,1,1,1,1.306275065,169
367,0,0,1,0,0,0,2,1,1.747547584,169
389,1,0,1,0,0,1,2,1,2.331337052,163
339,0,0,1,0,1,0,0,1,0.4649007552,150
89,1,0,0,0,0,1,2,2,8.295669541,157
423,1,1,0,0,1,1,0,0,0.6016258433,134
301,1,0,1,1,0,1,1,1,1.061794853,68
262,1,0,1,0,1,1,0,1,0.7886741818,52
398,0,0,1,0,1,0,0,1,0.7821662928,107
423,1,1,0,0,1,1,0,0,0.8657063734,158
253,1,0,0,1,0,1,1,2,1.092156743,110
558,1,0,1,0,1,1,0,1,0.5626636112,91
389,1,0,1,0,1,1,0,1,0.4217681154,106
401,0,0,1,0,1,0,0,1,0.5487275613,84
479,1,0,1,0,1,1,0,1,0.8669740178,110
405,1,1,0,0,1,1,0,0,0.5175726831,197
503,1,0,1,1,0,1,1,1,1.064655586,197
465,1,0,1,0,1,1,0,1,0.9122465772,176
431,0,0,1,1,0,0,1,1,1.312050554,171
106,0,0,1,0,1,0,0,1,0.5986829156,163
200,1,1,0,0,1,1,0,0,0.4653250063,137
331,1,0,1,0,0,1,2,1,3.969793624,112
90,1,0,1,0,1,1,0,1,0.4579444955,104
425,1,0,1,0,0,1,2,1,2.449732353,103
375,1,0,1,1,0,1,1,1,1.465381861,108
57,1,0,1,1,0,1,1,1,1.142491973,97
162,0,0,1,1,0,0,1,1,1.026468302,98
349,1,0,1,0,0,1,2,1,2.09574056,114
304,1,0,1,1,0,1,1,1,1.164609908,143
167,0,0,1,0,1,0,0,1,0.9579187265,171
270,1,0,1,0,1,1,0,1,0.7995398313,138
83,0,1,0,0,0,0,2,0,1.619872266,120
260,0,0,1,0,1,0,0,1,0.8583674978,127
247,1,1,0,0,1,1,0,0,0.5637615267,159
228,0,1,0,1,0,0,1,0,1.047419355,143
400,1,0,0,0,1,1,0,2,0.9462142783,149
155,0,0,1,0,1,0,0,1,0.6609554662,130
407,1,0,1,1,0,1,1,1,1.393058656,103
182,0,0,1,0,0,0,2,1,1.56673237,102
727,1,0,1,0,0,1,2,1,3.212836752,128
365,1,0,1,0,1,1,0,1,0.8515494439,95
371,0,0,1,0,0,0,2,1,1.618132578,49
69,1,0,1,0,1,1,0,1,0.704245358,49
466,0,0,1,0,1,0,0,1,0.5591937852,142
365,1,0,1,0,1,1,0,1,0.5213803941,168
107,1,0,1,0,1,1,0,1,0.5201997309,107
151,1,0,1,0,1,1,0,1,0.703767982,74
157,0,0,0,0,1,0,0,2,0.6090942702,79
316,1,0,1,0,0,1,2,1,2.047960004,78
32,0,1,0,1,0,0,1,0,1.462042052,75
592,0,0,1,0,1,0,0,1,0.61730823,95
400,1,0,1,0,0,1,2,1,8.136302997,190
385,1,1,0,0,1,1,0,0,0.7245831697,190
835,1,0,0,1,0,1,1,2,1.018687615,165
551,1,0,1,0,1,1,0,1,0.4969080057,152
702,0,0,0,0,1,0,0,2,0.627295733,143
331,1,0,1,0,1,1,0,1,0.7941490253,159
74,0,0,1,1,0,0,1,1,1.467423112,124
205,1,0,1,1,0,1,1,1,1.434563938,95
307,0,0,1,0,1,0,0,1,0.2354152774,102
366,1,0,1,1,0,1,1,1,1.115014215,105
292,0,0,1,0,1,0,0,1,0.8901822258,97
410,1,0,1,0,1,1,0,1,0.5236424107,81
340,0,0,1,0,0,0,2,1,1.80051423,123
630,1,0,1,0,1,1,0,1,0.836138248,177
102,1,0,1,0,1,1,0,1,0.9605600277,170
274,0,1,0,0,0,0,2,0,1.625350519,160
335,1,0,1,0,1,1,0,1,0.955,146
375,1,0,1,0,0,1,2,1,1.494377372,179
133,1,0,1,0,0,1,2,1,8.323765019,164
183,1,0,1,0,1,1,0,1,0.5362689834,165
216,0,1,0,0,1,0,0,0,0.9546695983,154
272,1,0,1,0,0,1,2,1,2.139984478,140
384,1,0,1,0,0,1,2,1,3.091129306,99
231,1,0,1,0,1,1,0,1,0.9034291406,118
64,1,0,1,1,0,1,1,1,1.442173461,149
284,1,1,0,0,1,1,0,0,0.955,121
411,1,1,0,1,0,1,1,0,1.416955899,61
293,1,0,1,0,1,1,0,1,0.6542031699,33
683,0,0,0,1,0,0,1,2,1.268355171,77
316,1,0,1,0,1,1,0,1,0.7295336425,170
367,0,0,1,0,0,0,2,1,3.395161164,103
399,1,0,1,0,1,1,0,1,0.8852492417,83
329,1,0,1,0,1,1,0,1,0.5006406745,66
472,1,0,1,0,0,1,2,1,1.540793616,70
125,1,0,1,0,1,1,0,1,0.8190264052,69
112,0,0,1,1,0,0,1,1,1.175783749,63
296,1,0,1,0,1,1,0,1,0.427623779,80
60,1,0,1,0,1,1,0,1,0.7643705674,171
389,1,0,1,0,1,1,0,1,0.7348515735,169
513,1,0,1,0,0,1,2,1,1.604853799,164
509,0,1,0,0,0,0,2,0,6.135502987,168
288,0,0,1,1,0,0,1,1,1.121068456,153
401,1,1,0,0,1,1,0,0,0.7438330203,134
286,1,0,1,1,0,1,1,1,1.024192975,161
